Validation ppl,Baseline,Prenorm,Postnorm
500,36.7371,33.9126,34.1502
1000,26.8323,26.7691,26.359
1500,22.725,23.2335,23.2081
2000,20.6885,20.7174,21.6382
2500,19.0923,18.8327,20.2516
3000,17.8984,17.4664,19.251
3500,17.2346,16.0299,18.6105
4000,16.2702,14.7069,18.0149
4500,15.4719,13.1254,17.4068
5000,14.5493,12.2506,16.9958
5500,13.5227,11.582,16.4747
6000,12.4982,11.24,16.1425
6500,11.7911,10.8999,15.9092
7000,11.1716,10.4693,15.3756
7500,10.7728,10.2536,15.1456
8000,10.4022,9.9662,14.5205
8500,10.2219,9.8307,14.1912
9000,10.1277,9.6778,13.7762
9500,9.9187,9.5925,13.3218
10000,9.7295,9.4242,12.9442
10500,9.6303,9.3149,12.4055
11000,9.4011,9.0767,11.902
11500,9.2904,9.058,11.4914
12000,9.2145,8.9423,11.1672
12500,9.0945,8.9269,10.8755
13000,8.9445,8.7235,10.5402
13500,8.9653,8.6979,10.4516
14000,8.859,8.5908,10.2334
14500,8.7577,8.6011,10.0067
15000,8.6679,8.539,9.8907
15500,8.5959,8.4691,9.738
16000,8.4875,8.3421,9.5437
16500,8.4442,8.3364,9.3931
17000,8.3749,8.2117,9.3147
17500,8.3592,8.2368,9.3336
18000,8.372,8.3376,9.2055
18500,8.2899,8.2333,9.1509
19000,8.1881,8.1289,9.0172
19500,8.2098,8.2066,9.0693
20000,8.0622,8.1392,8.8813
20500,8.0693,8.0626,8.9475
21000,8.055,7.9691,8.788
21500,8.0836,8.0102,8.8183
22000,8.1184,8.0258,8.7014
22500,8.0732,8.0345,8.722
23000,7.9452,7.9086,8.6423
23500,7.8921,7.8967,8.5817
24000,7.9157,7.8231,8.4881
24500,8.0198,8.0291,8.6444
25000,7.79,7.8099,8.4289
25500,7.8245,7.8046,8.3936
26000,7.8685,7.7844,8.4091
26500,7.8404,7.7735,8.4167
27000,7.7621,7.7738,8.2903
27500,7.839,7.7904,8.2728
28000,7.7533,7.8042,8.278
28500,7.7215,7.6969,8.146
29000,7.7258,7.6637,8.1754
29500,7.6255,7.6589,8.0485
30000,7.7008,7.6671,8.1318
30500,7.6806,7.6235,8.1397
31000,7.6877,7.7323,8.1144
31500,7.5777,7.6433,7.9396
32000,7.5558,7.5541,7.9627
32500,7.5759,7.6192,7.9509
33000,7.5453,7.5705,7.8626
33500,7.5599,7.5854,7.8828
34000,7.5091,7.5267,7.9132
34500,7.6268,7.6292,8.0014
35000,7.5508,7.5736,7.9219
35500,7.5086,7.5412,7.9201
36000,7.523,7.5046,7.8476
36500,7.4811,7.4838,7.838
37000,7.3686,7.4096,7.8439
37500,7.3739,7.4085,7.7219
38000,7.4073,7.3907,7.7787
38500,7.4357,7.4885,7.8238
39000,7.4363,7.4924,7.8293
39500,7.4685,7.4182,7.7649
40000,7.4433,7.5339,7.7102
40500,7.3968,7.4137,7.6923
41000,7.3817,7.4612,7.7038
41500,7.322,7.4139,7.6921
42000,7.4454,7.4434,7.6737
